# smile Persian teacher dictionary v2 — UTF-8 TSV
# columns: word<TAB>frequency<TAB>status<TAB>source_or_note
# membership source: Lilak Persian Spell Checking Dictionary (Apache-2.0)
# frequency source: filtered subtitle frequencies (CC BY-SA 4.0); frequency is weight, not proof of validity
# statuses understood by the loader: verified | suggested | blocked
# Do not edit this generated base directly; put personal changes in my_words.tsv.
آبکش	26	verified	lilak:noun_singular
آب‌کشی	6	verified	lilak:noun_singular
آب‌کشیده	5	verified	lilak:noun_singular
آبکنار	1	verified	lilak:noun_singular
آبکوه	1	verified	lilak:noun_singular
آبکوهه	1	verified	lilak:noun_singular
آبکوهی	1	verified	lilak:noun_singular
آبکی	53	verified	lilak:adjective
آبگذر	6	verified	lilak:noun_singular
آبگردان	1	verified	lilak:noun_singular
آب‌گرفتگی	1	verified	lilak:noun_singular
آب‌گرفته	1	verified	lilak:noun_singular
آبگرم	23	verified	lilak:noun_singular
آب‌گرم‌کن	17	verified	lilak:noun_singular
آب‌گوشت	99	verified	lilak:noun_singular
آبگوشت‌خور	1	verified	lilak:adjective
آبگوشت‌خوری	1	verified	lilak:noun_singular
آبگون	1	verified	lilak:noun_singular
آبگیر	25	verified	lilak:noun_singular
آب‌گیری	5	verified	lilak:noun_singular
آبگینه	1	verified	lilak:noun_singular
آبگینه‌وار	1	verified	lilak:adjective
آب‌لمبو	1	verified	lilak:noun_singular
آب‌لنبو	1	verified	lilak:noun_singular
آبله	184	verified	lilak:noun_singular
آبله‌دار	1	verified	lilak:adjective
آب‌لیمو	20	verified	lilak:noun_singular
آب‌لیموخوری	1	verified	lilak:noun_singular
آب‌لیموگیری	1	verified	lilak:noun_singular
آبمال	1	verified	lilak:noun_singular
آب‌مروارید	1	verified	lilak:noun_singular
آبمیوه	256	verified	lilak:noun_singular
آب‌میوه‌گیر	1	verified	lilak:noun_singular
آب‌میوه‌گیری	1	verified	lilak:noun_singular
آب‌نبات	368	verified	lilak:noun_singular
آب‌نما	3	verified	lilak:noun_singular
آب‌نمک	2	verified	lilak:noun_singular
آبنوس	4	verified	lilak:noun_singular
آبنوسی	1	verified	lilak:noun_singular
آبونمان	2	verified	lilak:noun_singular
آب‌وهوا	1	verified	lilak:noun_singular
آبیار	1	verified	lilak:noun_singular
آبیاری	67	verified	lilak:noun_singular
آبی‌رنگ	1	verified	lilak:adjective
آبی‌پوش	1	verified	lilak:adjective
آب‌پاش	34	verified	lilak:noun_singular
آب‌پاشی	2	verified	lilak:noun_singular
آب‌پز	35	verified	lilak:adjective
آت‌آشغال	1	verified	lilak:noun_singular
آتاترک	1	verified	lilak:noun_singular
آتاتورک	2	verified	lilak:noun_singular
آتاری	30	verified	lilak:noun_singular
آتالانتا	11	verified	lilak:noun_singular
آتروپین	36	verified	lilak:noun_singular
آتش	5726	verified	lilak:noun_singular
آتش‌افروز	1	verified	lilak:adjective
آتش‌افروزی	1	verified	lilak:noun_singular
آتش‌بار	8	verified	lilak:noun_singular
آتش‌باران	1	verified	lilak:noun_singular
آتشبان	2	verified	lilak:noun_singular
آتش‌بس	2	verified	lilak:noun_singular
آتش‌بیار	1	verified	lilak:noun_singular
آتش‌خانه	1	verified	lilak:noun_singular
آتشدان	12	verified	lilak:noun_singular
آتش‌زا	28	verified	lilak:adjective
آتشزنه	1	verified	lilak:noun_singular
آتش‌سوزی	36	verified	lilak:noun_singular
آتش‌فشان	185	verified	lilak:noun_singular
آتش‌فشانی	94	verified	lilak:noun_singular
آتشک	1	verified	lilak:noun_singular
آتشکار	1	verified	lilak:adjective
آتشکده	2	verified	lilak:noun_singular
آتشگاه	1	verified	lilak:noun_singular
آتشگر	1	verified	lilak:noun_singular
آتش‌گردان	1	verified	lilak:noun_singular
آتش‌گرفته	1	verified	lilak:noun_singular
آتش‌گیر	1	verified	lilak:noun_singular
آتشگیره	1	verified	lilak:noun_singular
آتش‌نشان	42	verified	lilak:noun_singular
آتش‌نشانی	73	verified	lilak:noun_singular
آتش‌وار	1	verified	lilak:adjective
آتشه	49	verified	lilak:noun_singular
آتشی	148	verified	lilak:noun_singular
